
--- LIVE MARKET FEED ---
Symbol: XAUUSD
Current NY Time: 2026-03-06 10:35:00
Current Live Price: 5159.815
Today's Daily High: 5171.238
Today's Daily Low: 5062.125

--- MAJOR SESSIONS (OHLC) ---
ASIAN (19:00-00:00): Closed | O: 5086.285 | H: 5143.665 | L: 5066.215 | C: 5127.485
LONDON (02:00-05:00): Closed | O: 5115.085 | H: 5122.765 | L: 5078.085 | C: 5079.065
NY AM (07:00-12:00): Developing (Live) | O: 5077.355 | H: 5171.238 | L: 5065.058 | C: 5159.815

--- NY MACROS (OHLC) ---
MACRO 1 (08:50-09:10): Closed | O: 5117.405 | H: 5121.435 | L: 5073.515 | C: 5095.825
MACRO 2 (09:50-10:10): Closed | O: 5093.475 | H: 5158.955 | L: 5091.915 | C: 5147.795
MACRO 3 (10:50-11:10): Closed | O: 5088.795 | H: 5104.475 | L: 5073.945 | C: 5081.105
MACRO 4 (11:50-12:10): Closed | O: 5078.295 | H: 5089.275 | L: 5069.975 | C: 5086.715
MACRO 5 (13:50-14:10): Closed | O: 5078.035 | H: 5080.995 | L: 5066.875 | C: 5071.525

--- HIGHER TIMEFRAME MARKET STRUCTURE ---
The following is the OHLC data for the last 100 4-Hour (H4) candles to determine macro trend:
ny_time,open,high,low,close
2026-02-11 15:00,5081.569,5089.948,5077.898,5087.135
2026-02-11 16:00,5087.155,5092.605,5069.665,5081.485
2026-02-11 18:00,5085.398,5099.798,5051.925,5060.625
2026-02-11 19:00,5060.525,5067.385,5049.505,5060.375
2026-02-11 20:00,5060.565,5063.935,5044.368,5063.505
2026-02-11 21:00,5063.675,5072.665,5054.745,5065.485
2026-02-11 22:00,5065.505,5074.425,5054.419,5056.105
2026-02-11 23:00,5056.125,5069.845,5050.568,5069.245
2026-02-12 00:00,5069.195,5077.995,5064.285,5075.665
2026-02-12 01:00,5075.695,5076.095,5046.678,5059.195
2026-02-12 02:00,5059.165,5065.938,5051.535,5064.815
2026-02-12 03:00,5064.845,5073.128,5051.895,5068.245
2026-02-12 04:00,5068.215,5080.535,5066.075,5072.705
2026-02-12 05:00,5072.735,5076.775,5055.835,5061.885
2026-02-12 06:00,5061.835,5068.055,5059.175,5063.985
2026-02-12 07:00,5064.075,5068.455,5048.485,5051.915
2026-02-12 08:00,5051.965,5083.475,5051.165,5075.645
2026-02-12 09:00,5075.605,5077.485,5039.265,5043.635
2026-02-12 10:00,5043.535,5074.655,5039.628,5059.785
2026-02-12 11:00,5059.935,5067.895,4877.255,4951.845
2026-02-12 12:00,4949.175,4982.335,4939.055,4940.795
2026-02-12 13:00,4941.418,4951.855,4906.185,4936.485
2026-02-12 14:00,4936.638,4957.955,4927.345,4945.395
2026-02-12 15:00,4946.035,4948.205,4910.865,4913.105
2026-02-12 16:00,4912.495,4926.655,4911.455,4921.109
2026-02-12 18:00,4915.638,4928.195,4886.998,4918.775
2026-02-12 19:00,4918.775,4948.125,4913.505,4927.265
2026-02-12 20:00,4927.275,4988.285,4926.675,4980.365
2026-02-12 21:00,4979.945,4991.315,4971.815,4988.105
2026-02-12 22:00,4988.175,4988.905,4973.575,4981.035
2026-02-12 23:00,4981.005,4996.955,4972.655,4976.465
2026-02-13 00:00,4976.385,4986.305,4944.475,4946.435
2026-02-13 01:00,4946.435,4968.515,4945.835,4964.445
2026-02-13 02:00,4964.495,4982.485,4950.855,4973.645
2026-02-13 03:00,4974.345,4989.315,4971.318,4981.335
2026-02-13 04:00,4981.365,4982.485,4961.105,4970.095
2026-02-13 05:00,4970.055,4980.495,4946.825,4951.455
2026-02-13 06:00,4951.495,4955.155,4933.495,4953.635
2026-02-13 07:00,4953.655,4973.755,4951.795,4970.515
2026-02-13 08:00,4970.575,4999.185,4957.385,4987.535
2026-02-13 09:00,4987.655,5010.636,4963.748,4999.638
2026-02-13 10:00,5001.805,5020.155,4973.688,4975.848
2026-02-13 11:00,4975.858,5033.618,4975.298,5008.145
2026-02-13 12:00,5008.065,5028.898,5005.655,5021.095
2026-02-13 13:00,5020.835,5035.215,5015.098,5031.125
2026-02-13 14:00,5031.155,5045.805,5023.285,5024.715
2026-02-13 15:00,5024.735,5034.498,5021.275,5033.575
2026-02-13 16:00,5033.605,5045.965,5029.425,5040.285
2026-02-15 18:00,5036.298,5051.678,5008.228,5019.898
2026-02-15 19:00,5019.655,5022.235,4999.428,5015.215
2026-02-15 20:00,5015.145,5030.945,5006.685,5028.605
2026-02-15 21:00,5028.635,5030.885,4991.815,4994.435
2026-02-15 22:00,4994.115,4999.665,4973.165,4987.215
2026-02-15 23:00,4987.175,4991.915,4971.238,4976.845
2026-02-16 00:00,4976.765,4990.485,4964.868,4990.155
2026-02-16 01:00,4990.035,5002.775,4984.325,4994.455
2026-02-16 02:00,4994.435,5009.738,4988.745,5007.065
2026-02-16 03:00,5007.085,5013.015,4995.295,5007.715
2026-02-16 04:00,5007.735,5017.055,5007.695,5013.195
2026-02-16 05:00,5012.955,5016.975,4999.945,5005.875
2026-02-16 06:00,5005.815,5007.845,4998.625,5004.035
2026-02-16 07:00,5004.125,5007.865,4992.558,5002.115
2026-02-16 08:00,5002.145,5003.405,4989.218,4996.995
2026-02-16 09:00,4996.975,4999.395,4981.425,4987.555
2026-02-16 10:00,4987.635,4988.025,4968.665,4979.725
2026-02-16 11:00,4979.775,4990.135,4972.875,4987.915
2026-02-16 12:00,4987.895,4995.795,4987.855,4991.625
2026-02-16 13:00,4991.605,4997.535,4988.305,4994.235
2026-02-16 14:00,4994.255,4996.025,4990.148,4991.708
2026-02-16 18:00,4994.738,5000.645,4984.445,4989.435
2026-02-16 19:00,4989.465,4991.005,4931.785,4935.395
2026-02-16 20:00,4935.685,4963.565,4922.805,4956.835
2026-02-16 21:00,4956.965,4970.845,4954.225,4966.595
2026-02-16 22:00,4966.578,4969.778,4949.645,4956.025
2026-02-16 23:00,4956.005,4960.055,4946.245,4952.565
2026-02-17 00:00,4952.595,4953.975,4856.648,4887.855
2026-02-17 01:00,4888.255,4913.848,4886.205,4908.675
2026-02-17 02:00,4908.765,4921.905,4903.595,4916.895
2026-02-17 03:00,4916.445,4930.195,4916.165,4921.085
2026-02-17 04:00,4921.115,4932.175,4912.735,4924.005
2026-02-17 05:00,4924.225,4938.965,4907.355,4912.895
2026-02-17 06:00,4913.015,4930.735,4913.015,4929.535
2026-02-17 07:00,4929.565,4944.255,4927.925,4930.675
2026-02-17 08:00,4930.655,4933.055,4869.025,4869.265
2026-02-17 09:00,4869.305,4906.675,4840.095,4860.285
2026-02-17 10:00,4859.728,4882.098,4849.864,4878.645
2026-02-17 11:00,4878.165,4893.085,4867.135,4867.195
2026-02-17 12:00,4867.098,4870.985,4850.0,4864.545
2026-02-17 13:00,4864.485,4910.165,4862.085,4898.765
2026-02-17 14:00,4898.868,4900.808,4876.135,4879.795
2026-02-17 15:00,4879.735,4883.885,4872.985,4877.258
2026-02-17 16:00,4877.329,4886.485,4874.958,4878.465
2026-02-17 18:00,4870.078,4884.155,4853.775,4858.185
2026-02-17 19:00,4858.355,4882.925,4857.848,4874.295
2026-02-17 20:00,4874.315,4892.448,4874.185,4889.605
2026-02-17 21:00,4889.665,4906.985,4886.115,4904.945
2026-02-17 22:00,4904.975,4921.975,4903.825,4920.425
2026-02-17 23:00,4920.445,4939.845,4918.015,4933.585
2026-02-18 00:00,4933.655,4939.525,4929.555,4933.165
2026-02-18 01:00,4933.205,4935.745,4924.925,4930.525
2026-02-18 02:00,4930.495,4942.095,4928.865,4929.995
2026-02-18 03:00,4929.945,4932.098,4916.345,4916.825
2026-02-18 04:00,4917.393,4922.875,4912.735,4917.105
2026-02-18 05:00,4917.135,4924.335,4909.225,4914.175
2026-02-18 06:00,4914.155,4917.435,4906.055,4912.735
2026-02-18 07:00,4912.775,4946.935,4911.765,4942.735
2026-02-18 08:00,4942.915,4968.585,4942.765,4954.285
2026-02-18 09:00,4954.395,4994.098,4951.985,4991.515
2026-02-18 10:00,4991.395,5008.698,4991.215,4997.765
2026-02-18 11:00,4998.265,5010.815,4991.145,5000.185
2026-02-18 12:00,5000.455,5001.395,4993.135,4998.855
2026-02-18 13:00,4998.845,5002.828,4980.295,4986.405
2026-02-18 14:00,4986.458,4995.215,4972.655,4980.335
2026-02-18 15:00,4980.315,4987.335,4975.225,4984.505
2026-02-18 16:00,4984.625,4986.125,4975.235,4975.439
2026-02-18 18:00,4979.798,4988.495,4965.498,4975.505
2026-02-18 19:00,4975.485,4975.975,4960.048,4960.995
2026-02-18 20:00,4960.985,4975.225,4960.198,4972.645
2026-02-18 21:00,4972.685,4977.095,4965.455,4967.605
2026-02-18 22:00,4967.625,4982.925,4966.075,4981.125
2026-02-18 23:00,4981.065,4985.205,4976.655,4984.005
2026-02-19 00:00,4983.925,4998.405,4983.925,4996.665
2026-02-19 01:00,4996.645,5019.685,4996.335,5018.705
2026-02-19 02:00,5018.845,5021.555,5008.585,5010.005
2026-02-19 03:00,5009.965,5022.015,5006.045,5017.445
2026-02-19 04:00,5017.405,5020.265,4992.778,4995.435
2026-02-19 05:00,4995.295,4995.995,4981.138,4993.015
2026-02-19 06:00,4992.818,4996.215,4977.695,4984.765
2026-02-19 07:00,4984.785,4992.575,4980.135,4984.795
2026-02-19 08:00,4984.815,4998.205,4971.978,4996.815
2026-02-19 09:00,4996.695,5010.175,4962.638,5005.675
2026-02-19 10:00,5006.948,5021.948,4995.988,5013.918
2026-02-19 11:00,5013.855,5014.025,4989.965,4994.335
2026-02-19 12:00,4994.315,5001.495,4982.565,4984.805
2026-02-19 13:00,4984.289,4989.155,4975.065,4981.595
2026-02-19 14:00,4981.595,4990.035,4978.015,4987.715
2026-02-19 15:00,4987.735,5003.175,4987.735,5001.565
2026-02-19 16:00,5001.575,5003.885,4991.715,4993.685
2026-02-19 18:00,4997.798,5007.498,4985.135,4987.305
2026-02-19 19:00,4987.255,5006.565,4985.045,5005.445
2026-02-19 20:00,5005.665,5014.515,4994.965,4996.585
2026-02-19 21:00,4996.778,5007.145,4992.415,4995.475
2026-02-19 22:00,4995.505,4998.885,4981.315,4987.595
2026-02-19 23:00,4987.645,5003.015,4986.365,4999.365
2026-02-20 00:00,4999.368,5012.005,4997.598,5012.005
2026-02-20 01:00,5012.035,5029.675,5011.498,5021.675
2026-02-20 02:00,5020.118,5027.975,5005.559,5007.058
2026-02-20 03:00,5007.078,5030.845,5004.665,5029.671
2026-02-20 04:00,5029.715,5042.325,5027.195,5027.535
2026-02-20 05:00,5027.555,5038.095,5019.258,5034.505
2026-02-20 06:00,5034.475,5034.505,5015.085,5017.125
2026-02-20 07:00,5017.265,5026.425,5006.775,5025.205
2026-02-20 08:00,5025.225,5048.555,5017.795,5043.385
2026-02-20 09:00,5043.405,5060.255,5036.885,5055.575
2026-02-20 10:00,5056.355,5063.775,4989.025,5043.385
2026-02-20 11:00,5043.735,5068.825,5038.365,5066.705
2026-02-20 12:00,5066.585,5076.038,5054.155,5072.685
2026-02-20 13:00,5072.735,5074.755,5053.715,5071.198
2026-02-20 14:00,5071.135,5079.675,5068.498,5078.764
2026-02-20 15:00,5078.764,5098.035,5076.555,5097.165
2026-02-20 16:00,5097.335,5107.698,5091.465,5106.169
2026-02-22 18:00,5101.338,5171.565,5096.958,5164.725
2026-02-22 19:00,5164.755,5166.295,5129.035,5143.305
2026-02-22 20:00,5143.345,5167.465,5139.745,5156.655
2026-02-22 21:00,5156.668,5176.385,5156.275,5173.755
2026-02-22 22:00,5173.825,5175.685,5151.655,5166.935
2026-02-22 23:00,5166.975,5168.585,5155.105,5160.415
2026-02-23 00:00,5160.395,5161.438,5151.938,5157.795
2026-02-23 01:00,5157.815,5161.265,5142.965,5143.175
2026-02-23 02:00,5143.155,5154.175,5124.965,5137.975
2026-02-23 03:00,5138.605,5141.905,5121.818,5139.905
2026-02-23 04:00,5139.885,5149.835,5139.815,5149.095
2026-02-23 05:00,5149.125,5163.295,5144.748,5162.965
2026-02-23 06:00,5162.895,5163.215,5146.325,5148.955
2026-02-23 07:00,5149.038,5165.235,5145.225,5163.575
2026-02-23 08:00,5163.505,5165.188,5143.405,5145.855
2026-02-23 09:00,5145.858,5200.198,5141.225,5192.705
2026-02-23 10:00,5192.645,5204.875,5180.355,5193.815
2026-02-23 11:00,5193.758,5218.865,5175.545,5210.475
2026-02-23 12:00,5210.445,5213.225,5190.675,5207.315
2026-02-23 13:00,5207.345,5215.655,5200.998,5209.354
2026-02-23 14:00,5209.354,5217.935,5206.405,5215.125
2026-02-23 15:00,5215.145,5237.725,5215.098,5236.375
2026-02-23 16:00,5236.315,5237.055,5226.265,5228.209
2026-02-23 18:00,5231.098,5249.575,5221.698,5234.892
2026-02-23 19:00,5234.892,5237.825,5217.295,5219.645
2026-02-23 20:00,5219.645,5220.265,5144.698,5176.937
2026-02-23 21:00,5176.937,5190.665,5165.171,5189.745
2026-02-23 22:00,5189.685,5191.605,5170.735,5171.135
2026-02-23 23:00,5171.155,5174.985,5160.698,5167.485
2026-02-24 00:00,5167.465,5185.475,5163.715,5182.498
2026-02-24 01:00,5182.445,5184.545,5156.305,5172.965
2026-02-24 02:00,5172.655,5183.555,5163.845,5179.155
2026-02-24 03:00,5179.105,5181.648,5164.575,5172.825
2026-02-24 04:00,5172.805,5179.958,5166.225,5170.605
2026-02-24 05:00,5170.705,5181.275,5162.845,5173.005
2026-02-24 06:00,5173.035,5178.295,5170.655,5171.995
2026-02-24 07:00,5171.945,5173.255,5144.888,5151.545
2026-02-24 08:00,5151.675,5161.105,5110.565,5114.775
2026-02-24 09:00,5114.775,5139.015,5093.225,5127.248
2026-02-24 10:00,5127.845,5155.045,5117.775,5149.535
2026-02-24 11:00,5149.565,5152.055,5130.498,5142.425
2026-02-24 12:00,5142.475,5164.145,5142.205,5164.045
2026-02-24 13:00,5164.045,5170.045,5153.305,5159.935
2026-02-24 14:00,5159.905,5160.185,5146.165,5153.125
2026-02-24 15:00,5153.105,5173.075,5146.415,5164.415
2026-02-24 16:00,5164.525,5165.615,5139.675,5141.345
2026-02-24 18:00,5139.998,5152.005,5127.048,5147.285
2026-02-24 19:00,5147.205,5155.835,5136.535,5154.395
2026-02-24 20:00,5154.545,5189.635,5143.798,5177.575
2026-02-24 21:00,5177.555,5193.518,5166.205,5181.535
2026-02-24 22:00,5181.555,5189.805,5177.905,5181.448
2026-02-24 23:00,5181.448,5184.825,5172.645,5183.155
2026-02-25 00:00,5183.075,5210.335,5182.398,5200.698
2026-02-25 01:00,5200.698,5200.698,5182.175,5194.575
2026-02-25 02:00,5194.565,5194.865,5180.065,5185.555
2026-02-25 03:00,5185.525,5197.025,5183.505,5183.505
2026-02-25 04:00,5183.445,5194.375,5176.325,5192.705
2026-02-25 05:00,5192.655,5195.147,5169.745,5174.275
2026-02-25 06:00,5174.275,5182.305,5154.895,5180.255
2026-02-25 07:00,5180.215,5187.175,5177.035,5182.805
2026-02-25 08:00,5183.328,5191.275,5180.855,5185.155
2026-02-25 09:00,5185.565,5193.065,5158.445,5191.188
2026-02-25 10:00,5191.125,5202.355,5171.758,5194.556
2026-02-25 11:00,5194.556,5213.615,5189.652,5212.265
2026-02-25 12:00,5212.235,5217.385,5203.445,5207.165
2026-02-25 13:00,5207.185,5207.375,5200.375,5201.705
2026-02-25 14:00,5201.625,5207.948,5191.325,5204.355
2026-02-25 15:00,5204.415,5206.098,5144.958,5151.795
2026-02-25 16:00,5151.815,5173.235,5150.095,5164.915
2026-02-25 18:00,5158.498,5181.278,5157.898,5162.425
2026-02-25 19:00,5162.395,5191.965,5154.835,5190.465
2026-02-25 20:00,5189.755,5198.285,5178.175,5191.175
2026-02-25 21:00,5191.165,5195.515,5173.698,5184.505
2026-02-25 22:00,5184.385,5193.565,5182.695,5192.605
2026-02-25 23:00,5192.555,5199.165,5190.065,5192.385
2026-02-26 00:00,5192.408,5205.215,5189.765,5198.155
2026-02-26 01:00,5198.155,5199.385,5190.105,5194.195
2026-02-26 02:00,5194.255,5194.595,5179.358,5186.345
2026-02-26 03:00,5186.428,5190.605,5167.265,5179.095
2026-02-26 04:00,5179.075,5189.335,5173.595,5185.955
2026-02-26 05:00,5186.035,5189.905,5165.458,5171.735
2026-02-26 06:00,5171.745,5178.145,5160.985,5166.805
2026-02-26 07:00,5166.835,5187.585,5157.495,5184.365
2026-02-26 08:00,5184.538,5185.395,5163.905,5164.905
2026-02-26 09:00,5164.855,5175.695,5140.0,5164.995
2026-02-26 10:00,5164.975,5192.535,5129.495,5185.845
2026-02-26 11:00,5186.018,5186.905,5172.735,5178.775
2026-02-26 12:00,5178.765,5190.035,5161.645,5167.875
2026-02-26 13:00,5167.978,5185.785,5160.115,5179.765
2026-02-26 14:00,5179.815,5193.845,5179.258,5187.275
2026-02-26 15:00,5187.315,5200.865,5187.205,5197.615
2026-02-26 16:00,5197.615,5200.485,5179.825,5182.715
2026-02-26 18:00,5184.258,5189.025,5173.498,5184.185
2026-02-26 19:00,5184.165,5194.565,5169.865,5175.645
2026-02-26 20:00,5175.615,5194.985,5166.535,5194.795
2026-02-26 21:00,5194.755,5199.425,5173.185,5183.245
2026-02-26 22:00,5183.285,5190.435,5180.955,5183.195
2026-02-26 23:00,5183.455,5188.585,5180.645,5181.365
2026-02-27 00:00,5181.975,5200.424,5181.075,5197.565
2026-02-27 01:00,5197.825,5199.178,5184.615,5184.715
2026-02-27 02:00,5184.695,5189.475,5175.375,5176.445
2026-02-27 03:00,5176.445,5182.165,5174.045,5178.485
2026-02-27 04:00,5178.465,5182.355,5171.858,5175.595
2026-02-27 05:00,5175.635,5180.625,5168.155,5177.495
2026-02-27 06:00,5177.495,5186.585,5172.235,5185.775
2026-02-27 07:00,5185.745,5190.455,5182.638,5187.635
2026-02-27 08:00,5187.705,5240.235,5186.415,5224.385
2026-02-27 09:00,5224.185,5236.145,5213.535,5224.935
2026-02-27 10:00,5224.625,5246.248,5214.378,5239.135
2026-02-27 11:00,5239.215,5257.405,5221.635,5228.665
2026-02-27 12:00,5228.715,5236.705,5220.375,5234.335
2026-02-27 13:00,5234.285,5246.565,5222.295,5245.795
2026-02-27 14:00,5245.825,5252.105,5239.778,5249.898
2026-02-27 15:00,5249.898,5265.198,5248.335,5262.148
2026-02-27 16:00,5262.095,5280.878,5256.858,5277.419
2026-03-01 18:00,5371.998,5392.995,5302.298,5383.305
2026-03-01 19:00,5383.275,5383.515,5330.495,5337.425
2026-03-01 20:00,5336.985,5345.545,5302.695,5324.185
2026-03-01 21:00,5324.165,5351.435,5316.745,5345.875
2026-03-01 22:00,5345.805,5366.805,5343.818,5366.735
2026-03-01 23:00,5366.705,5366.935,5344.505,5354.825
2026-03-02 00:00,5354.835,5365.985,5340.575,5365.275
2026-03-02 01:00,5364.955,5389.505,5363.385,5386.815
2026-03-02 02:00,5386.525,5418.875,5384.668,5407.035
2026-03-02 03:00,5407.055,5416.455,5391.045,5394.375
2026-03-02 04:00,5394.405,5402.815,5385.535,5390.915
2026-03-02 05:00,5390.895,5400.715,5378.645,5389.385
2026-03-02 06:00,5389.695,5399.795,5374.865,5382.285
2026-03-02 07:00,5382.305,5398.498,5378.705,5395.105
2026-03-02 08:00,5395.085,5416.625,5381.338,5392.105
2026-03-02 09:00,5392.055,5394.895,5305.069,5327.685
2026-03-02 10:00,5328.415,5348.438,5307.885,5311.905
2026-03-02 11:00,5312.035,5314.145,5260.095,5288.435
2026-03-02 12:00,5288.305,5320.315,5286.555,5306.725
2026-03-02 13:00,5306.695,5316.465,5289.275,5314.585
2026-03-02 14:00,5314.635,5333.795,5313.575,5331.035
2026-03-02 15:00,5331.005,5346.045,5328.095,5336.295
2026-03-02 16:00,5336.255,5340.095,5321.005,5321.845
2026-03-02 18:00,5330.798,5346.658,5328.895,5346.175
2026-03-02 19:00,5346.235,5361.788,5336.565,5349.675
2026-03-02 20:00,5349.605,5379.755,5337.335,5338.415
2026-03-02 21:00,5338.595,5367.695,5332.525,5367.065
2026-03-02 22:00,5367.045,5373.185,5358.598,5366.675
2026-03-02 23:00,5366.885,5375.255,5354.419,5357.435
2026-03-03 00:00,5357.505,5366.615,5304.465,5320.535
2026-03-03 01:00,5320.615,5322.675,5278.598,5307.805
2026-03-03 02:00,5307.805,5330.855,5305.705,5326.855
2026-03-03 03:00,5326.835,5335.735,5289.835,5296.125
2026-03-03 04:00,5296.165,5303.645,5225.718,5275.625
2026-03-03 05:00,5275.625,5287.555,5237.415,5244.765
2026-03-03 06:00,5244.785,5263.625,5072.058,5143.338
2026-03-03 07:00,5143.455,5226.505,5137.805,5219.435
2026-03-03 08:00,5219.245,5219.245,5127.075,5157.095
2026-03-03 09:00,5157.145,5175.118,5015.725,5040.825
2026-03-03 10:00,5039.275,5096.548,4995.475,5095.448
2026-03-03 11:00,5095.898,5134.358,5090.175,5102.015
2026-03-03 12:00,5101.935,5109.548,5065.045,5079.775
2026-03-03 13:00,5079.825,5138.088,5079.405,5136.655
2026-03-03 14:00,5136.635,5148.645,5099.088,5115.605
2026-03-03 15:00,5115.285,5130.085,5085.635,5095.845
2026-03-03 16:00,5095.875,5110.125,5082.955,5084.865
2026-03-03 18:00,5103.748,5129.545,5086.868,5124.665
2026-03-03 19:00,5124.645,5140.695,5105.348,5139.995
